year,area,stage,f
2006,6,juvenile,0.0168448700901014
2007,6,juvenile,0.0156338012120167
2008,6,juvenile,0.0143372137850029
2009,6,juvenile,0.0245994022042954
2010,6,juvenile,0.0186343135297303
2011,6,juvenile,0.0240122042689907
2012,6,juvenile,0.0232710747740181
2013,6,juvenile,0.0194425030132379
2014,6,juvenile,0.0144726684027104
2015,6,juvenile,0.0161905889415897
2016,6,juvenile,0.0180000693530624
2017,6,juvenile,0.0204014089233479
2018,6,juvenile,0.0164117216493387
2019,6,juvenile,0.0230621291700871
2020,6,juvenile,0.0268602873938402
2021,6,juvenile,0.0212928917423773
1952,7,juvenile,0.00262791699179923
1953,7,juvenile,0.00252078158299886
1954,7,juvenile,0.00184945573999082
1955,7,juvenile,0.00153721847161729
1956,7,juvenile,0.00120717426405342
1957,7,juvenile,0.0012549551498114
1958,7,juvenile,0.0030565154851784
1959,7,juvenile,0.00372028905061381
1960,7,juvenile,0.00289166409534922
1961,7,juvenile,0.00420389200211398
1962,7,juvenile,0.00564073071609362
1963,7,juvenile,0.00545752235781633
1964,7,juvenile,0.00394371923640297
1965,7,juvenile,0.00564178787852522
1966,7,juvenile,0.00661402372317416
1967,7,juvenile,0.0077577533622491
1968,7,juvenile,0.00881378177011784
1969,7,juvenile,0.00919440361914953
1970,7,juvenile,0.0588379276649235
1971,7,juvenile,0.125658511275126
1972,7,juvenile,0.112234637040595
1973,7,juvenile,0.102649084937749
1974,7,juvenile,0.143097499084507
1975,7,juvenile,0.145298571003014
1976,7,juvenile,0.173849981643871
1977,7,juvenile,0.183307129393723
1978,7,juvenile,0.318786189250681
1979,7,juvenile,0.358684309201994
1980,7,juvenile,0.199741885131977
1981,7,juvenile,0.352465786801716
1982,7,juvenile,0.165304486343686
1983,7,juvenile,0.289212543962464
1984,7,juvenile,0.193239030003601
1985,7,juvenile,0.29697777172679
1986,7,juvenile,0.283885193416549
1987,7,juvenile,0.199205569480473
1988,7,juvenile,0.193349286136621
1989,7,juvenile,0.342197331627219
1990,7,juvenile,0.330464659141801
1991,7,juvenile,0.606646119759436
1992,7,juvenile,0.285305277010658
1993,7,juvenile,0.244988956965609
1994,7,juvenile,0.341282308955598
1995,7,juvenile,1.02165192878192
1996,7,juvenile,0.375505634718006
1997,7,juvenile,0.320507159449136
1998,7,juvenile,0.452787370990413
1999,7,juvenile,0.437444768279759
2000,7,juvenile,0.622523345914405
2001,7,juvenile,0.730743179741626
2002,7,juvenile,0.442110764511422
2003,7,juvenile,1.3772025935915
2004,7,juvenile,0.411418024779711
2005,7,juvenile,0.47452148984814
2006,7,juvenile,0.389567323485952
